Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2 "
"DIST1",1," Ultrasonic Distance Sensor"
"R1, R3, R4, R5, R6",5,"330 Ω Resistor"
"R2",1,"1 kΩ Resistor"
"PIEZO1",1," Piezo"
"PIR1",1,"-4.432203517042296 , -202.40396023172423 , -208.57169055186736  PIR Sensor"
"D1",1,"Yellow LED"
"D2",1,"Green LED"
"D3",1,"Red LED"
